RaceFile,A,B,C,D,E,F,G,H,I
race-23.csv,14859,1.87,66,60,91,29.89,10,3,0
race-30.csv,15108,1.87,16,14,91,30.31,6,10,0
race-26.csv,15813,1.76,58,53,76,29.91,10,9,0
race-35.csv,15112,1.75,60,59,96,30.12,9,4,0.51
race-16.csv,15548,1.74,60,47,60,29.96,10,3,0
race-10.csv,15860,1.67,53,37,52,30.26,10,6,0
race-13.csv,15544,1.71,55,48,68,30.04,10,4,0
race-15.csv,17798,1.26,63,50,64,29.92,10,5,0.02
race-6.csv,16774,1.64,66,57,62,29.71,10,4,0
race-34.csv,15961,1.62,62,54,68,29.84,10,7,0
race-32.csv,15385,1.37,56,48,73,29.91,10,8,0.01
race-27.csv,15881,1.45,63,55,79,29.85,10,4,0.92
race-24.csv,15346,1.4,54,50,84,30,1,8,0.03
race-31.csv,15266,1.29,53,47,83,29.92,5,7,0.05
race-29.csv,15125,1.3,58,54,84,29.74,7,1,0.92
race-14.csv,17045,1.01,73,65,75,30.13,10,2,0
race-2.csv,16299,1.2,64,52,66,29.68,10,6,0
race-9.csv,15113,1.79,40,28,67,30.37,10,2,0
race-8.csv,15290,1.74,36,20,53,30.64,10,7,0
race-21.csv,15520,1.79,40,22,52,30.2,10,5,0
race-19.csv,15534,1.57,49,49,94,30.07,5,2,0.26
race-4.csv,15594,1.62,50,41,74,30,10,2,0
race-28.csv,15639,1.58,56,35,51,29.98,10,10,0
race-22.csv,15863,1.53,70,61,74,29.84,10,10,0
race-12.csv,16997,1.57,72,68,82,29.86,9,8,0.24
race-5.csv,15446,1.51,54,46,80,30.07,8,9,0.33
race-17.csv,15352,1.38,49,43,80,29.99,10,9,0
race-7.csv,15333,1.42,44,33,66,30.41,9,2,0
race-20.csv,15614,1.32,62,39,54,30.16,10,4,0
race-33.csv,15400,1.38,38,21,51,30.08,10,5,0
race-25.csv,15834,1.25,48,45,89,29.73,7,4,0.07
race-11.csv,15969,1.22,42,31,63,29.61,10,8,0
race-3.csv,16042,1.25,49,40,68,30.28,10,4,0
race-18.csv,16150,1.23,46,35,66,30.32,9,4,0
race-1.csv,16400,1.2,58,47,66,29.95,10,12,0.31
